NU_SO_EC;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;ENDEREÇO;COMPLEMENTO_ENDERECO;CIDADE;UF;CEP;DDD_01;FONE_01;FONE_02;PROPRIETARIO_01;MCC;DESCRICAO_MCC;VISITA SOLICITADA EM;address.postal_code;address.type;address.full_name;address.number;address.complement;address.reference;address.district;address.city;address.state;address.country
1008466155;49.771.991.000.103;PANIF E CONF ESTRELA DO MAR LTDA;ESTRELA DO MAR;AV DOUTOR MARTIN LUTHER KING 328;JD ADALGIZA UMUARAMA;OSASCO;SP;6030000;11;36824476;39012447;JOSE CARLOS ALONSO RODRIGUES;5462;Padarias;17/06/2019 - SOFIE;6030000;;AV DOUTOR MARTIN LUTHER KING 328;;JD ADALGIZA UMUARAMA;;;OSASCO;SP;BRASIL
1008466180;46.804.621.000.129;CASA DE CARNE OLIVEIRA LTDA;CASA DE CARNES OLIVEIR;AV SAO JOSE 299;VL S JOSE AYROSA;OSASCO;SP;6283120;11;36023480;78664713;SERGIO ALEXANDRE A DE MOURA;5422;Comidas Congeladas;17/06/2019 - SOFIE;6283120;;AV SAO JOSE 299;;VL S JOSE AYROSA;;;OSASCO;SP;BRASIL
1008590069;45.767.480.000.159;CASA DE CARNES CRUZEIRODO SUL LT;MERCADAO DE CARNES;AV CRUZEIRO DO SUL 1117;ROCHDALE;OSASCO;SP;6226006;11;36863158;981349552;CARLOS ALBERTO GUEDES;5422;Comidas Congeladas;17/06/2019 - SOFIE;6226006;;AV CRUZEIRO DO SUL 1117;;ROCHDALE;;;OSASCO;SP;BRASIL
1008632179;61.446.480.000.103;PANIFICADORA J ROCHDALE LTDA;PANIFICAD JD ROCHDALE;R AGUAS DA PRATA 267;ROCHDALE;OSASCO;SP;6223200;11;36863305;36875123;RAMOM CARNERO ALONSO;5462;Padarias;17/06/2019 - SOFIE;6223200;;R AGUAS DA PRATA 267;;ROCHDALE;;;OSASCO;SP;BRASIL
1008690527;66.084.781.000.158;COM E ALIMETICIOS URSUS LTDA;EMPORIO URSUS;R DIOGO ANTONIO FEIJO 486;JARDIM DAS FLORES KM 18;OSASCO;SP;6114022;11;36814055;99089648;WANDERMILSON PORTANTE;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6114022;;R DIOGO ANTONIO FEIJO 486;;JARDIM DAS FLORES KM 18;;;OSASCO;SP;BRASIL
1008707748;5.671.795.000.183;CENTER CARNE FILIPINI LTDA;MERCADO FILIPINI;AV DOUTOR MARTIN LUTHER KING 316;CIDADE DE DEUS UMUARAMA;OSASCO;SP;6030000;11;36817064;982306670;MARIA SOALNGE BERNARDO;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6030000;;AV DOUTOR MARTIN LUTHER KING 316;;CIDADE DE DEUS UMUARAMA;;;OSASCO;SP;BRASIL
1008894521;66.706.680.000.171;PAES E DOCES BELLA JULLY LTDA;PAES DOCES BELLA JULLY;R PROFESSOR JOSE AZEVEDO MINHOTO 99;VL QUITAUNA KM 18;OSASCO;SP;6114000;11;36825977;0;FLAVIO ALVES;5462;Padarias;17/06/2019 - SOFIE;6114000;;R PROFESSOR JOSE AZEVEDO MINHOTO 99;;VL QUITAUNA KM 18;;;OSASCO;SP;BRASIL
1008964708;56.253.545.000.164;PADARIA E CONFEITARIA ROKADY LTDA;PAES E DOCES ROKADY;AV HILDEBRANDO DE LIMA 1316;VL QUITAUNA KM 18;OSASCO;SP;6190160;11;36540167;0;ALEXANDRO FAGUNDES TOLENTINO;5462;Padarias;17/06/2019 - SOFIE;6190160;;AV HILDEBRANDO DE LIMA 1316;;VL QUITAUNA KM 18;;;OSASCO;SP;BRASIL
1008989735;47.357.942.000.195;PAD E CONFEITARIA NOVA CITY LTDA;PADAR E CONF NOVA CITY;AV NOVO OSASCO 1073;BUSSOCABA;OSASCO;SP;6056010;11;36090360;999858388;AGUSTIN MARTINEZ RIVERO;5462;Padarias;17/06/2019 - SOFIE;6056010;;AV NOVO OSASCO 1073;;BUSSOCABA;;;OSASCO;SP;BRASIL
1009089339;3.969.620.000.121;HENRIQUE DAS NEVES GUEDES ME;MINI MERCADO FAMILIAR;R GENERAL ALVES MEDEIROS 34;RECANTO DAS ROSAS;OSASCO;SP;6150335;11;36094404;36940320;HENRIQUE DAS NEVES GUEDES;5411;Mercearias e Supermercados;17/06/2019 - SOFIE;6150335;;R GENERAL ALVES MEDEIROS 34;;RECANTO DAS ROSAS;;;OSASCO;SP;BRASIL
